epoch	train_mse	test_mse	test_accuracy
655	0.247387	0.246795	0.5488
656	0.247385	0.246793	0.5488
657	0.247383	0.246791	0.5488
658	0.247381	0.246789	0.5488
659	0.247379	0.246786	0.5488
660	0.247377	0.246784	0.5488
661	0.247376	0.246782	0.5488
662	0.247374	0.246780	0.5488
663	0.247372	0.246778	0.5488
664	0.247370	0.246776	0.5488
665	0.247368	0.246774	0.5488
666	0.247366	0.246772	0.5488
667	0.247364	0.246770	0.5488
668	0.247362	0.246768	0.5488
669	0.247360	0.246765	0.5488
670	0.247358	0.246763	0.5488
671	0.247356	0.246761	0.5488
672	0.247354	0.246759	0.5488
673	0.247352	0.246757	0.5488
674	0.247350	0.246755	0.5488
675	0.247348	0.246753	0.5488
676	0.247346	0.246751	0.5488
677	0.247344	0.246748	0.5488
678	0.247342	0.246746	0.5488
679	0.247340	0.246744	0.5488
680	0.247338	0.246742	0.5488
681	0.247336	0.246740	0.5488
682	0.247334	0.246738	0.5488
683	0.247332	0.246736	0.5488
684	0.247330	0.246733	0.5488
685	0.247328	0.246731	0.5488
686	0.247326	0.246729	0.5488
687	0.247324	0.246727	0.5488
688	0.247322	0.246725	0.5488
689	0.247320	0.246723	0.5488
690	0.247318	0.246720	0.5488
691	0.247316	0.246718	0.5488
692	0.247314	0.246716	0.5488
693	0.247311	0.246714	0.5488
694	0.247309	0.246712	0.5488
695	0.247307	0.246709	0.5488
696	0.247305	0.246707	0.5488
697	0.247303	0.246705	0.5488
698	0.247301	0.246703	0.5488
699	0.247299	0.246701	0.5488
700	0.247297	0.246698	0.5488
701	0.247295	0.246696	0.5488
702	0.247293	0.246694	0.5488
703	0.247291	0.246692	0.5488
704	0.247289	0.246689	0.5488
705	0.247287	0.246687	0.5488
706	0.247284	0.246685	0.5488
707	0.247282	0.246683	0.5488
708	0.247280	0.246680	0.5488
709	0.247278	0.246678	0.5488
710	0.247276	0.246676	0.5488
711	0.247274	0.246674	0.5488
712	0.247272	0.246671	0.5488
713	0.247270	0.246669	0.5488
714	0.247267	0.246667	0.5488
715	0.247265	0.246665	0.5488
716	0.247263	0.246662	0.5488
717	0.247261	0.246660	0.5488
718	0.247259	0.246658	0.5488
719	0.247257	0.246655	0.5488
720	0.247255	0.246653	0.5488
721	0.247252	0.246651	0.5488
722	0.247250	0.246648	0.5488
723	0.247248	0.246646	0.5488
724	0.247246	0.246644	0.5488
725	0.247244	0.246642	0.5488
726	0.247242	0.246639	0.5488
727	0.247239	0.246637	0.5488
